Country,Deposit ID,Deposit Name,Deposit Type,Deposit Subtype,Resource Range,Grade Range (Teor)
Australia,15,Angelo River A,5,5,≥300 - <1000,≥0.10 - <0.20
Australia,7062,Angelo River B,5,5,≥25 - <300,≥0.01 - <0.05
Australia,2012,Angularli,5,5,≥5000 - <10000,≥1.00 - <5.00
Australia,1651,Anketell,7,5,≥1000 - <2500,≥0.01 - <0.05
Australia,4439,Anomaly 15 East,10,8,≥25 - <300,≥0.10 - <0.20
Australia,16,Armchair-Streitberg Ridge,5,5,≥1000 - <2500,≥0.05 - <0.10
Australia,1586,Bambino,2,2,≥300 - <1000,≥0.01 - <0.05
Australia,2013,Beatrice,5,5,≥25 - <300,≥0.20 - <0.50
Australia,4467,Bellah Bore East,7,5,≥25 - <300,≥0.01 - <0.05
Australia,17,Ben Lomond,3,3,≥2500 - <5000,≥0.10 - <0.20
Australia,18,Bennet Well,10,10,≥10000 - <25000,≥0.01 - <0.05
Australia,4469,Bentley Greenwood,5,5,≥300 - <1000,≥0.05 - <0.10
Australia,19,Beverley,10,9,≥10000 - <25000,≥0.10 - <0.20
Australia,20,Bigrlyi,10,10,≥10000 - <25000,≥0.10 - <0.20
Australia,4477,Bigwest,10,8,≥25 - <300,≥0.01 - <0.05
Australia,1791,Bikini,2,2,≥5000 - <10000,≥0.01 - <0.05
Australia,2007,Billeroo,10,10,≥2500 - <5000,≥0.01 - <0.05
Australia,1327,Blackbush,10,8,≥10000 - <25000,≥0.01 - <0.05
Australia,2008,Brooks Dam,10,10,≥1000 - <2500,≥0.05 - <0.10
Australia,4518,Camel Flat,10,8,≥25 - <300,≥0.10 - <0.20
Australia,1652,Cappers,7,5,≥2500 - <5000,≥0.01 - <0.05
Australia,21,Caramal,5,5,≥1000 - <2500,≥0.20 - <0.50
Australia,1694,Carley Bore,10,8,≥5000 - <10000,≥0.01 - <0.05
Australia,1755,Carrapateena,5,5,≥50000 - <100000,≥0.01 - <0.05
Australia,22,Centipede-Millipede,7,6,≥5000 - <10000,≥0.01 - <0.05
Australia,1296,Central 50,3,3,≥300 - <1000,≥0.10 - <0.20
Australia,4552,Citation-Mighty Glare,2,2,≥25 - <300,≥0.01 - <0.05
Australia,4555,Cleo,5,5,≥300 - <1000,≥0.01 - <0.05
Australia,4556,Cliff South,5,5,≥25 - <300,≥0.05 - <0.10
Australia,2028,Cobar 2,3,3,>0 - <25,≥0.20 - <0.50
Australia,7063,Cogla Downs,7,5,≥25 - <300,≥0.01 - <0.05
Australia,23,Coronation Hill,5,5,≥1000 - <2500,≥0.20 - <0.50
Australia,24,Crocker Well,4,5,≥5000 - <10000,≥0.01 - <0.05
Australia,1587,Cummins Range,4,3,≥300 - <1000,≥0.01 - <0.05
Australia,25,Dam,5,5,≥300 - <1000,≥0.10 - <0.20
Australia,1317,Dawson-Hinkler,7,5,≥2500 - <5000,≥0.01 - <0.05
Australia,1508,Double 8,10,9,≥10000 - <25000,≥0.01 - <0.05
Australia,1318,Duke Batman,2,2,≥300 - <1000,≥0.10 - <0.20
Australia,26,Dyson's,5,5,≥300 - <1000,≥0.20 - <0.50
Australia,1329,E1 North & South,5,5,≥2500 - <5000,≥0.01 - <0.05
Australia,27,East Kalkaroo,10,10,≥300 - <1000,≥0.05 - <0.10
Australia,2014,El Sherana,5,5,≥25 - <300,≥0.20 - <0.50
Australia,2015,El Sherana West,5,5,≥25 - <300,≥0.50 - <1.00
Australia,2010,Elaine-Dorothy,2,2,≥25 - <300,≥0.05 - <0.10
Australia,4620,Eldorado North,2,2,≥25 - <300,≥0.01 - <0.05
Australia,1544,Emperor,10,8,≥10000 - <25000,≥0.01 - <0.05
Australia,4297,Ernest Henry,5,5,≥10000 - <25000,>0 - <0.01
Australia,1756,Eva,3,3,≥300 - <1000,≥0.10 - <0.20
Australia,1330,Four Mile West,10,9,≥10000 - <25000,≥0.20 - <0.50
Australia,1316,Four Mile East,10,9,≥10000 - <25000,≥0.20 - <0.50
Australia,2009,Four Mile North-East,10,10,≥10000 - <25000,≥0.20 - <0.50
Australia,29,Goulds Dam,10,10,≥5000 - <10000,≥0.01 - <0.05
Australia,30,Hades Flat,5,5,≥300 - <1000,≥0.10 - <0.20
Australia,5368,Highway,10,9,≥300 - <1000,≥0.01 - <0.05
Australia,4691,Hill One,10,8,≥25 - <300,≥0.01 - <0.05
Australia,1331,Hillview,7,5,≥2500 - <5000,≥0.01 - <0.05
Australia,31,Hodgkinson,5,5,≥300 - <1000,≥0.20 - <0.50
Australia,1332,Honey Pot,2,2,≥1000 - <2500,≥0.05 - <0.10
Australia,32,Honeymoon,10,10,≥10000 - <25000,≥0.05 - <0.10
Australia,7064,Hospital Prospect,3,3,>0 - <25,≥0.05 - <0.10
Australia,4700,Houghton Prospect,2,2,≥300 - <1000,≥0.01 - <0.05
Australia,33,Huarabagoo,10,5,≥2500 - <5000,≥0.05 - <0.10
Australia,4712,Inglewood Prospect,2,2,>0 - <25,≥0.05 - <0.10
Australia,34,Jabiluka 1,5,5,≥2500 - <5000,≥0.20 - <0.50
Australia,951,Jabiluka 2,5,5,≥100000 - <1000000,≥0.20 - <0.50
Australia,980,Jailor Bore,7,5,≥300 - <1000,≥0.01 - <0.05
Australia,4717,Jason,10,10,≥2500 - <5000,≥0.05 - <0.10
Australia,1792,Jindarra,10,10,≥300 - <1000,≥0.01 - <0.05
Australia,35,Junnagunna,10,8,≥2500 - <5000,≥0.05 - <0.10
Australia,4743,Karins,10,8,≥300 - <1000,≥0.01 - <0.05
Australia,4286,Khamsin,5,5,≥10000 - <25000,>0 - <0.01
Australia,36,Kintyre,5,5,≥10000 - <25000,≥0.20 - <0.50
Australia,2016,Koolpin Creek,5,5,>0 - <25,≥0.10 - <0.20
Australia,37,Koongarra 1,5,5,≥10000 - <25000,≥0.50 - <1.00
Australia,950,Koongarra 2,5,5,≥1000 - <2500,≥0.20 - <0.50
Australia,2026,Lake Austin,7,6,≥25 - <300,≥0.01 - <0.05
Australia,38,Lake Maitland,7,6,≥10000 - <25000,≥0.01 - <0.05
Australia,39,Lake Mason,7,5,≥1000 - <2500,≥0.01 - <0.05
Australia,40,Lake Raeside,7,5,≥1000 - <2500,≥0.01 - <0.05
Australia,41,Lake Way,7,5,≥2500 - <5000,≥0.01 - <0.05
Australia,7065,Lake Way South,7,5,≥25 - <300,≥0.01 - <0.05
Australia,4820,Lakeside,7,5,≥1000 - <2500,≥0.01 - <0.05
Australia,4840,Lomax Prospect,3,5,≥300 - <1000,≥0.05 - <0.10
Australia,4852,Lyndon,7,5,≥300 - <1000,≥0.05 - <0.10
Australia,6719,Malawiri,10,10,≥300 - <1000,≥0.10 - <0.20
Australia,43,Manyingee,10,10,≥5000 - <10000,≥0.05 - <0.10
Australia,7066,Manyingee East,10,10,≥1000 - <2500,≥0.01 - <0.05
Australia,44,Mary Kathleen,2,5,≥10000 - <25000,≥0.10 - <0.20
Australia,45,Maureen,3,5,≥2500 - <5000,≥0.05 - <0.10
Australia,1943,Milo,5,5,≥5000 - <10000,>0 - <0.01
Australia,4899,Minindi Creek,7,5,≥300 - <1000,≥0.01 - <0.05
Australia,7067,Minindii-Mooloo Downs,7,5,≥300 - <1000,≥0.01 - <0.05
Australia,1841,Mirrioola,2,2,≥300 - <1000,≥0.01 - <0.05
Australia,7068,Mount Burton,5,5,>0 - <25,≥0.10 - <0.20
Australia,46,Mount Fitch,5,5,≥5000 - <10000,≥0.01 - <0.05
Australia,47,Mount Gee,5,5,≥25000 - <50000,≥0.05 - <0.10
Australia,944,Mount Victoria,4,5,≥300 - <1000,≥0.10 - <0.20
Australia,4918,Murchinson Downs,7,5,≥25 - <300,≥0.05 - <0.10
Australia,1842,N 147,10,8,≥300 - <1000,≥0.20 - <0.50
Australia,50,Nabarlek,5,5,≥5000 - <10000,≥1.00 - <5.00
Australia,51,New Well (Napperby),7,5,≥2500 - <5000,≥0.01 - <0.05
Australia,979,Nolans Bore,4,3,≥5000 - <10000,≥0.01 - <0.05
Australia,2017,Noranda Prospect,5,5,≥25 - <300,≥0.01 - <0.05
Australia,52,Nowthana,7,5,≥2500 - <5000,≥0.01 - <0.05
Australia,7069,Nowthana Hill,7,5,≥1000 - <2500,≥0.01 - <0.05
Australia,1866,Oak Dam East,5,5,≥5000 - <10000,≥0.05 - <0.10
Australia,7070,Oak Dam West,5,5,≥2500 - <5000,≥0.01 - <0.05
Australia,1336,Oban,10,9,≥1000 - <2500,≥0.01 - <0.05
Australia,1695,Odin,2,2,≥5000 - <10000,≥0.01 - <0.05
Australia,53,Olympic Dam,5,5,≥1000000,≥0.01 - <0.05
Australia,947,Oobagooma-Yampi,10,8,≥5000 - <10000,≥0.10 - <0.20
Australia,54,Outcamp,10,5,≥300 - <1000,≥0.10 - <0.20
Australia,2018,Palette,5,5,≥25 - <300,≥1.00 - <5.00
Australia,1854,Pannikan,10,8,≥1000 - <2500,≥0.10 - <0.20
Australia,1944,Peninsula ,7,5,≥1000 - <2500,≥0.01 - <0.05
Australia,1757,Pepegoona,10,8,≥300 - <1000,≥0.10 - <0.20
Australia,1855,Pepegoona West,10,8,≥1000 - <2500,≥0.10 - <0.20
Australia,1770,Plumbush,10,8,≥5000 - <10000,≥0.01 - <0.05
Australia,1820,Princess,10,8,≥1000 - <2500,≥0.05 - <0.10
Australia,977,Prominent Hill,5,5,≥10000 - <25000,≥0.01 - <0.05
Australia,1588,Queen's Gift,2,2,≥300 - <1000,≥0.01 - <0.05
Australia,56,Radium Hill,4,5,≥300 - <1000,≥0.05 - <0.10
Australia,58,Radium Ridge,5,5,≥1000 - <2500,≥0.05 - <0.10
Australia,948,Ranger 1 N°1,5,5,≥50000 - <100000,≥0.20 - <0.50
Australia,952,Ranger 1 N°3,5,5,≥100000 - <1000000,≥0.05 - <0.10
Australia,59,Ranger 68,5,5,≥2500 - <5000,≥0.20 - <0.50
Australia,1829,Ranger Deeps,5,5,≥25000 - <50000,≥0.10 - <0.20
Australia,60,Redtree,10,8,≥10000 - <25000,≥0.05 - <0.10
Australia,2019,Rockhole Area,5,5,≥25 - <300,≥0.50 - <1.00
Australia,61,Rum Jungle Creek South,5,5,≥1000 - <2500,≥0.20 - <0.50
Australia,2020,Saddle Ridge,5,5,≥25 - <300,≥0.20 - <0.50
Australia,1843,Saffron,10,9,≥1000 - <2500,≥0.01 - <0.05
Australia,2021,Scinto V,5,5,>0 - <25,≥0.20 - <0.50
Australia,2022,Scinto VI,5,5,>0 - <25,≥0.10 - <0.20
Australia,5446,Shelf,10,9,≥300 - <1000,≥0.01 - <0.05
Australia,1545,Shogun,10,8,≥1000 - <2500,≥0.05 - <0.10
Australia,62,Skal,2,2,≥5000 - <10000,≥0.05 - <0.10
Australia,2023,Skull,5,5,>0 - <25,≥0.20 - <0.50
Australia,1794,Slance,2,2,≥25 - <300,≥0.05 - <0.10
Australia,2024,Sleisbeck,5,5,>0 - <25,≥0.20 - <0.50
Australia,5145,Spring Hill ,4,4,≥300 - <1000,≥0.20 - <0.50
Australia,5447,Stallion,10,9,≥1000 - <2500,≥0.01 - <0.05
Australia,63,Sue,10,5,≥300 - <1000,≥0.10 - <0.20
Australia,5163,Sundberg,10,8,≥25 - <300,≥0.01 - <0.05
Australia,1589,Thanksgiving,2,2,≥300 - <1000,≥0.01 - <0.05
Australia,5185,Thatcher Soak East,7,6,≥1000 - <2500,≥0.01 - <0.05
Australia,64,Thatcher Soak West,7,6,≥2500 - <5000,≥0.01 - <0.05
Australia,1844,Theseus,10,9,≥2500 - <5000,≥0.01 - <0.05
Australia,1758,Thunderball,3,3,≥300 - <1000,≥0.05 - <0.10
Australia,1590,Toongi,4,3,≥5000 - <10000,≥0.01 - <0.05
Australia,65,Trident,3,3,≥300 - <1000,≥0.10 - <0.20
Australia,66,Turee Creek,5,5,≥300 - <1000,≥0.01 - <0.05
Australia,2025,Twin,5,5,≥25 - <300,≥0.10 - <0.20
Australia,67,Two-Gee,3,3,≥300 - <1000,≥0.10 - <0.20
Australia,68,Valhalla,2,2,≥25000 - <50000,≥0.05 - <0.10
Australia,69,Walbiri,10,8,≥5000 - <10000,≥0.05 - <0.10
Australia,5250,Warawai,2,2,≥25 - <300,≥0.01 - <0.05
Australia,70,Warrior,10,9,≥2500 - <5000,≥0.01 - <0.05
Australia,1333,Watta,2,2,≥1000 - <2500,≥0.01 - <0.05
Australia,72,White's,5,5,≥300 - <1000,≥0.20 - <0.50
Australia,5255,Wild Dog Mine,3,3,≥25 - <300,≥0.20 - <0.50
Australia,1319,Windimurra,7,5,≥2500 - <5000,≥0.01 - <0.05
Australia,1559,Wondinong,7,5,≥1000 - <2500,≥0.01 - <0.05
Australia,1795,Yandegin,10,10,≥300 - <1000,≥0.01 - <0.05
Australia,5267,Yarrabubba,7,5,≥25 - <300,≥0.05 - <0.10
Australia,2027,Yarranna 1,10,9,≥300 - <1000,≥0.01 - <0.05
Australia,73,Yeelirrie,7,5,≥25000 - <50000,≥0.10 - <0.20
Australia,1334,Yuinmerry,7,5,≥300 - <1000,≥0.01 - <0.05
Austria,1411,Forstau,3,5,≥1000 - <2500,≥0.05 - <0.10
Austria,5369,Mitterberg,3,5,≥25 - <300,≥0.05 - <0.10
Austria,7107,Obertauern-Tweng,3,5,≥25 - <300,≥0.01 - <0.05
Belgium,5370,Mons Basin,8,7,≥25000 - <50000,>0 - <0.01
"Bolivia, Plurinational State of",74,Cotaje,3,3,≥25 - <300,≥0.05 - <0.10
Botswana,1546,Gorgon Main,10,8,≥50000 - <100000,≥0.01 - <0.05
Botswana,1697,Gorgon South,10,8,≥25000 - <50000,≥0.01 - <0.05
Botswana,1696,Gorgon West,10,8,≥25000 - <50000,≥0.01 - <0.05
Botswana,1547,Kraken,10,8,≥5000 - <10000,≥0.01 - <0.05
Botswana,1698,Lekobolo,10,8,≥1000 - <2500,≥0.01 - <0.05
Botswana,1124,Mokobaesi,7,6,≥1000 - <2500,≥0.01 - <0.05
Botswana,1771,Serule E,10,8,≥300 - <1000,≥0.01 - <0.05
Botswana,1258,Serule Nw,10,8,≥25000 - <50000,≥0.01 - <0.05
Botswana,1772,Serule W,10,8,≥10000 - <25000,≥0.01 - <0.05
Brazil,1338,Alcantil,2,5,≥1000 - <2500,≥0.05 - <0.10
Brazil,5371,Alvo 118,5,5,≥5000 - <10000,>0 - <0.01
Brazil,75,Amorinopolis,10,8,≥2500 - <5000,≥0.01 - <0.05
Brazil,1339,Araxa,4,3,≥10000 - <25000,>0 - <0.01
Brazil,4449,Baixa do Almeda,2,2,≥300 - <1000,≥0.20 - <0.50
Brazil,4501,Brejal,2,2,≥1000 - <2500,≥0.05 - <0.10
Brazil,7889,Buena Mine,7,5,≥1000 - <2500,>0 - <0.01
Brazil,4287,Cachoeira,2,2,≥10000 - <25000,≥0.20 - <0.50
Brazil,76,Campos Belos,3,3,≥300 - <1000,≥0.10 - <0.20
Brazil,5372,Canavieiras,5,5,≥1000 - <2500,≥0.01 - <0.05
Brazil,1699,Catalao,4,3,≥50000 - <100000,≥0.01 - <0.05
Brazil,4285,Cristalino,5,5,≥10000 - <25000,>0 - <0.01
Brazil,4282,Da Rabicha,2,2,≥10000 - <25000,≥0.10 - <0.20
Brazil,4351,Das Quebradas,2,2,≥2500 - <5000,≥0.10 - <0.20
Brazil,4278,Engenho,2,2,≥10000 - <25000,≥0.10 - <0.20
Brazil,77,Espinharas,2,2,≥5000 - <10000,≥0.05 - <0.10
Brazil,78,Figueira,10,8,≥5000 - <10000,≥0.10 - <0.20
Brazil,7801,Gameleira 1,2,2,≥1000 - <2500,≥0.10 - <0.20
Brazil,79,Gandarela,5,5,≥5000 - <10000,≥0.01 - <0.05
Brazil,1821,Igarape Bahia-Alemao,5,5,≥25000 - <50000,≥0.01 - <0.05
Brazil,80,Itataia-Santa Quiteria District,3,3,≥100000 - <1000000,≥0.05 - <0.10
Brazil,4352,Laranjeiras,2,2,≥2500 - <5000,≥0.10 - <0.20
Brazil,7140,LR35,2,2,≥1000 - <2500,≥0.10 - <0.20
Brazil,7141,LR36,2,2,≥1000 - <2500,≥0.10 - <0.20
Brazil,4294,Modesto,2,2,≥10000 - <25000,≥0.10 - <0.20
