"KOREA, REPUBLIC OF",,,,,808,306,-550,1156,2094,5057,1341,7367,16190,-264,7331,7282,3299,315,1564,188,4582,10119,2928,11961,4339,13973,3044,3351,11867,1192,14596,3589,-4579,7655,-3131,766,5873,-4213,-11084,16733,7999,-5743,-22582,-7822,6819,16167,-2982,14129,7300,,,,,,,,,,
LITHUANIA,,,,,,,,,,,4091,391,29,2534,3663,330,-87,-2268,-2308,-4409,4009,2028,-1813,1435,-3571,-1299,2523,2957,1352,-332,-4373,-1599,1130,65,885,,,,,,,,,,,,,,,,,,,,,,,,
MEXICO,,,,,,,,,,,,,,,,2464,1286,-315,977,-662,3471,-422,2913,-1199,737,-1644,455,984,663,-1273,1570,81,-452,-588,749,-4515,3720,-901,2965,-2065,1873,-912,299,2628,-2319,-16,741,-1066,1504,,,,,,,,,,
"NETHERLANDS, KINGDOM OF THE",-97,517,-178,329,-549,691,-523,240,-312,127,181,294,-619,102,320,-489,-153,105,513,-22,45,133,-3846,,,94,47,-59,101,-183,167,-499,721,-60,84,-262,162,-210,-969,1136,-11,-111,-486,77,360,184,-271,316,-159,647,,,-79,,,,,,
PAKISTAN,-89,-7,-147,-110,-198,38,124,-121,123,96,-28,214,-201,-103,-110,315,-5,129,-130,154,-62,-150,75,-32,-284,828,1083,-181,9,123,475,139,-239,-567,895,-76,1283,1427,-900,206,-244,1106,2670,1180,-223,573,6193,6386,163,162,,,229,,,,,,
ROMANIA,,,,,,,,,,,,,,,,,,,,,,,3766,-44,-95,240,-3,56,-564,600,-29,65,1900,3255,486,-115,106,-247,132,57,-44,-321,191,-120,-91,206,-173,-179,90,,,,,,,,,,
RUSSIA,2046,6505,6261,3003,3861,11373,8493,7792,9017,10860,8317,6966,25204,-3350,2177,-9640,1499,-99,-705,-20278,1557,9358,-548,-4558,15566,8694,1699,8726,8307,-5361,4165,7006,3344,4067,719,6633,2606,4275,-4575,7346,13742,1246,6061,1224,4195,6286,6621,1073,-5559,3689,,,1708,,,0,0,0,
SLOVAKIA,-179,165,-211,-68,1933,2578,209,682,286,997,1997,2185,-194,-23,641,-141,-303,189,-863,1026,140,-90,-464,-306,1557,3125,567,793,-93,-818,711,263,-2440,1294,-2377,460,806,68,212,-203,-336,-350,282,-226,493,74,288,184,2174,,,,,,,,,,
SLOVENIA,,,,,,,,2124,1336,483,-362,-23,456,-343,518,-67,331,-950,-4,640,164,-206,432,0,-301,56,487,272,-345,248,401,-324,138,543,-512,-79,521,-658,-207,1024,-689,59,536,-477,43,507,-622,-107,21,,,,,,,,,,
SOUTH AFRICA,,,,,,,,,,,1444,3433,-2610,4299,601,-2651,702,131,-1990,2379,1597,470,869,954,-115,-470,-2289,1312,651,1615,-2046,-2163,2526,146,-1173,1326,38,-541,1243,1122,-3797,4244,-122,-4500,3015,-1986,583,-2075,-1969,,,,,,,,,,
SPAIN,316,-93,-878,1056,-908,-1411,4152,-839,1862,11936,4739,9013,3714,8698,5504,-1783,1395,-279,705,-730,425,675,-1075,3594,-226,3027,1578,-764,-1089,1695,-5924,2445,-4716,3735,-5864,8670,-4134,3579,-4387,547,-101,1343,-474,-2263,2492,-59,-1578,1932,-1779,1565,,1600,2179,,,,,,
SWEDEN,9302,4045,3716,3731,-2605,5278,9186,2687,1777,9543,7282,11073,-2431,1837,-3624,2522,8247,-12712,-2009,11494,-3117,4334,-4510,3479,-334,-15336,14438,-3602,-84,9620,-5601,-4522,-720,-2997,-11296,5691,2367,3375,2249,-1453,-7814,6192,2415,2805,-1439,-17067,4064,-1408,-3370,597,,,1328,,,,,,
SWITZERLAND,661,173,161,264,3250,2396,777,-16,409,323,6159,63,421,-208,60,787,-672,479,-87,918,532,214,288,368,-831,1439,333,388,248,-510,-3405,4264,116,-214,-7,-923,350,-1248,546,1476,-4312,-1852,-712,4905,873,-2320,-4455,4586,224,1005,,-34,2969,,,,,,
"TAIWAN, CHINA",,,,,,,,,,,,,,,,4442,2334,-1407,515,494,317,2535,-1287,362,1509,79,-2902,4004,-726,567,465,-87,644,335,590,0,485,-1638,1087,980,-5658,-4681,-8900,5095,4491,-805,-3523,-3901,-5763,,,,,,,,,,
UKRAINE,,,,4844,672,355,1395,6029,3310,7847,10841,-2328,19160,14733,-5307,9195,-852,2560,-2709,-6036,1560,8482,536,-4008,-3832,5595,-809,1712,3335,3509,3095,1505,2316,-2750,-6523,5995,948,-8,-6719,4956,-717,-6327,4328,-873,-1387,-6594,9575,,,,,,,,,,,,
UNITED ARAB EMIRATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8564,9174,11905,,,,,,,,,,
UNITED KINGDOM,-2748,3390,2979,-3608,3944,-917,1551,4911,4968,3777,6203,-3773,-495,5683,8283,-4655,4277,6939,9915,-163,-9104,-374,13783,-994,-2828,-7236,7425,7,1266,-7060,709,-5955,-11858,-9318,14653,-6006,5805,1305,168,-6214,5976,1254,-1262,-4774,-8080,-5364,-3879,1742,-6253,-6939,,4400,3320,,,,,,
UNITED STATES OF AMERICA,55202,20018,56891,28227,-20027,-4166,22165,8737,11426,30028,56696,21185,42727,76942,8821,49510,35673,6281,-8139,30153,31467,1667,-45218,45477,53505,26601,13569,11158,-15895,24644,-5680,4961,18242,128,-9788,10183,-16639,-19720,19467,8429,-603,7947,-312,2381,1330,-19439,-18281,582,6965,20508,18376,19046,16446,0,0,0,0,0,
