Country,Probabilidade,Disponibilidade,Atributo,Urânio (Ton.)
Hungary,Inferred,in Situ,Entre 130 e 260 USD,22200
India,Inferred,in Situ,<USD 40/kgU,0
India,Inferred,in Situ,Entre 40 e 80 USD,0
India,Inferred,in Situ,Entre 80 e 130 USD,0
India,Inferred,in Situ,Entre 130 e 260 USD,10500
Indonesia,Inferred,in Situ,<USD 40/kgU,0
Indonesia,Inferred,in Situ,Entre 40 e 80 USD,0
Indonesia,Inferred,in Situ,Entre 80 e 130 USD,4100
Indonesia,Inferred,in Situ,Entre 130 e 260 USD,0
Iran Islamic Rep of,Inferred,in Situ,<USD 40/kgU,0
Iran Islamic Rep of,Inferred,in Situ,Entre 40 e 80 USD,0
Iran Islamic Rep of,Inferred,in Situ,Entre 80 e 130 USD,5500
Iran Islamic Rep of,Inferred,in Situ,Entre 130 e 260 USD,0
Italy,Inferred,in Situ,<USD 40/kgU,0
Italy,Inferred,in Situ,Entre 40 e 80 USD,1700
Italy,Inferred,in Situ,Entre 80 e 130 USD,0
Italy,Inferred,in Situ,Entre 130 e 260 USD,0
Jordan,Inferred,in Situ,<USD 40/kgU,0
Jordan,Inferred,in Situ,Entre 40 e 80 USD,0
Jordan,Inferred,in Situ,Entre 80 e 130 USD,62000
Jordan,Inferred,in Situ,Entre 130 e 260 USD,0
Kazakhstan,Inferred,in Situ,<USD 40/kgU,280800
Kazakhstan,Inferred,in Situ,Entre 40 e 80 USD,186600
Kazakhstan,Inferred,in Situ,Entre 80 e 130 USD,37200
Kazakhstan,Inferred,in Situ,Entre 130 e 260 USD,48000
Malawi,Inferred,in Situ,<USD 40/kgU,0
Malawi,Inferred,in Situ,Entre 40 e 80 USD,0
Malawi,Inferred,in Situ,Entre 80 e 130 USD,2300
Malawi,Inferred,in Situ,Entre 130 e 260 USD,3300
Mali,Inferred,in Situ,<USD 40/kgU,0
Mali,Inferred,in Situ,Entre 40 e 80 USD,0
Mali,Inferred,in Situ,Entre 80 e 130 USD,5200
Mali,Inferred,in Situ,Entre 130 e 260 USD,0
Mauritania,Inferred,in Situ,<USD 40/kgU,0
Mauritania,Inferred,in Situ,Entre 40 e 80 USD,0
Mauritania,Inferred,in Situ,Entre 80 e 130 USD,14300
Mauritania,Inferred,in Situ,Entre 130 e 260 USD,9400
Mexico,Inferred,in Situ,<USD 40/kgU,0
Mexico,Inferred,in Situ,Entre 40 e 80 USD,0
Mexico,Inferred,in Situ,Entre 80 e 130 USD,0
Mexico,Inferred,in Situ,Entre 130 e 260 USD,0
Mongolia,Inferred,in Situ,<USD 40/kgU,0
Mongolia,Inferred,in Situ,Entre 40 e 80 USD,12400
Mongolia,Inferred,in Situ,Entre 80 e 130 USD,91700
Mongolia,Inferred,in Situ,Entre 130 e 260 USD,0
Namibia,Inferred,in Situ,<USD 40/kgU,0
Namibia,Inferred,in Situ,Entre 40 e 80 USD,9200
Namibia,Inferred,in Situ,Entre 80 e 130 USD,323800
Namibia,Inferred,in Situ,Entre 130 e 260 USD,180800
Niger,Inferred,in Situ,<USD 40/kgU,0
Niger,Inferred,in Situ,Entre 40 e 80 USD,44800
Niger,Inferred,in Situ,Entre 80 e 130 USD,21400
Niger,Inferred,in Situ,Entre 130 e 260 USD,106400
Paraguay,Inferred,in Situ,<USD 40/kgU,0
Paraguay,Inferred,in Situ,Entre 40 e 80 USD,0
Paraguay,Inferred,in Situ,Entre 80 e 130 USD,1600
Paraguay,Inferred,in Situ,Entre 130 e 260 USD,0
Peru,Inferred,in Situ,<USD 40/kgU,0
Peru,Inferred,in Situ,Entre 40 e 80 USD,27700
Peru,Inferred,in Situ,Entre 80 e 130 USD,0
Peru,Inferred,in Situ,Entre 130 e 260 USD,0
Portugal,Inferred,in Situ,<USD 40/kgU,0
Portugal,Inferred,in Situ,Entre 40 e 80 USD,0
Portugal,Inferred,in Situ,Entre 80 e 130 USD,1000
Portugal,Inferred,in Situ,Entre 130 e 260 USD,0
Romania,Inferred,in Situ,<USD 40/kgU,0
Romania,Inferred,in Situ,Entre 40 e 80 USD,0
Romania,Inferred,in Situ,Entre 80 e 130 USD,4800
Romania,Inferred,in Situ,Entre 130 e 260 USD,0
Russia,Inferred,in Situ,<USD 40/kgU,0
Russia,Inferred,in Situ,Entre 40 e 80 USD,19200
Russia,Inferred,in Situ,Entre 80 e 130 USD,313800
Russia,Inferred,in Situ,Entre 130 e 260 USD,180800
Senegal,Inferred,in Situ,<USD 40/kgU,0
Senegal,Inferred,in Situ,Entre 40 e 80 USD,0
Senegal,Inferred,in Situ,Entre 80 e 130 USD,0
Senegal,Inferred,in Situ,Entre 130 e 260 USD,1500
Slovak Republic,Inferred,in Situ,<USD 40/kgU,0
Slovak Republic,Inferred,in Situ,Entre 40 e 80 USD,4900
Slovak Republic,Inferred,in Situ,Entre 80 e 130 USD,3500
Slovak Republic,Inferred,in Situ,Entre 130 e 260 USD,0
Slovenia,Inferred,in Situ,<USD 40/kgU,0
Slovenia,Inferred,in Situ,Entre 40 e 80 USD,5000
Slovenia,Inferred,in Situ,Entre 80 e 130 USD,5000
Slovenia,Inferred,in Situ,Entre 130 e 260 USD,0
Somalia,Inferred,in Situ,<USD 40/kgU,0
Somalia,Inferred,in Situ,Entre 40 e 80 USD,0
Somalia,Inferred,in Situ,Entre 80 e 130 USD,0
Somalia,Inferred,in Situ,Entre 130 e 260 USD,3500
South Africa,Inferred,in Situ,<USD 40/kgU,0
South Africa,Inferred,in Situ,Entre 40 e 80 USD,82200
South Africa,Inferred,in Situ,Entre 80 e 130 USD,30000
South Africa,Inferred,in Situ,Entre 130 e 260 USD,148400
Spain,Inferred,in Situ,<USD 40/kgU,0
Spain,Inferred,in Situ,Entre 40 e 80 USD,11400
Spain,Inferred,in Situ,Entre 80 e 130 USD,0
Spain,Inferred,in Situ,Entre 130 e 260 USD,0
Sweden,Inferred,in Situ,<USD 40/kgU,0
Sweden,Inferred,in Situ,Entre 40 e 80 USD,0
Sweden,Inferred,in Situ,Entre 80 e 130 USD,6300
Sweden,Inferred,in Situ,Entre 130 e 260 USD,0
Tanzania,Inferred,in Situ,<USD 40/kgU,0
Tanzania,Inferred,in Situ,Entre 40 e 80 USD,10600
Tanzania,Inferred,in Situ,Entre 80 e 130 USD,12400
Tanzania,Inferred,in Situ,Entre 130 e 260 USD,0
Turkey,Inferred,in Situ,<USD 40/kgU,0
Turkey,Inferred,in Situ,Entre 40 e 80 USD,0
Turkey,Inferred,in Situ,Entre 80 e 130 USD,0
Turkey,Inferred,in Situ,Entre 130 e 260 USD,0
Ukraine,Inferred,in Situ,<USD 40/kgU,0
Ukraine,Inferred,in Situ,Entre 40 e 80 USD,30200
Ukraine,Inferred,in Situ,Entre 80 e 130 USD,8000
Ukraine,Inferred,in Situ,Entre 130 e 260 USD,35700
Uzbekistan,Inferred,in Situ,<USD 40/kgU,31100
Uzbekistan,Inferred,in Situ,Entre 40 e 80 USD,0
Uzbekistan,Inferred,in Situ,Entre 80 e 130 USD,77400
Uzbekistan,Inferred,in Situ,Entre 130 e 260 USD,0
Viet Nam,Inferred,in Situ,<USD 40/kgU,0
Viet Nam,Inferred,in Situ,Entre 40 e 80 USD,0
Viet Nam,Inferred,in Situ,Entre 80 e 130 USD,0
Viet Nam,Inferred,in Situ,Entre 130 e 260 USD,4000
Zambia,Inferred,in Situ,<USD 40/kgU,0
Zambia,Inferred,in Situ,Entre 40 e 80 USD,0
Zambia,Inferred,in Situ,Entre 80 e 130 USD,20100
Zambia,Inferred,in Situ,Entre 130 e 260 USD,0
Argentina,Inferred,Recoverable,<USD 40/kgU,2400
Argentina,Inferred,Recoverable,Entre 40 e 80 USD,9900
Argentina,Inferred,Recoverable,Entre 80 e 130 USD,11500
Argentina,Inferred,Recoverable,Entre 130 e 260 USD,1000
Australia,Inferred,Recoverable,<USD 40/kgU,0
Australia,Inferred,Recoverable,Entre 40 e 80 USD,0
Australia,Inferred,Recoverable,Entre 80 e 130 USD,445400
Australia,Inferred,Recoverable,Entre 130 e 260 USD,196600
Bolivia,Inferred,Recoverable,<USD 40/kgU,0
Bolivia,Inferred,Recoverable,Entre 40 e 80 USD,0
Bolivia,Inferred,Recoverable,Entre 80 e 130 USD,0
Bolivia,Inferred,Recoverable,Entre 130 e 260 USD,1400
Botswana,Inferred,Recoverable,<USD 40/kgU,0
Botswana,Inferred,Recoverable,Entre 40 e 80 USD,0
Botswana,Inferred,Recoverable,Entre 80 e 130 USD,66800
Botswana,Inferred,Recoverable,Entre 130 e 260 USD,0
Brazil,Inferred,Recoverable,<USD 40/kgU,0
Brazil,Inferred,Recoverable,Entre 40 e 80 USD,73500
Brazil,Inferred,Recoverable,Entre 80 e 130 USD,47400
Brazil,Inferred,Recoverable,Entre 130 e 260 USD,0
Canada,Inferred,Recoverable,<USD 40/kgU,0
Canada,Inferred,Recoverable,Entre 40 e 80 USD,10000
Canada,Inferred,Recoverable,Entre 80 e 130 USD,88900
Canada,Inferred,Recoverable,Entre 130 e 260 USD,117500
Central African Republic,Inferred,Recoverable,<USD 40/kgU,0
Central African Republic,Inferred,Recoverable,Entre 40 e 80 USD,0
Central African Republic,Inferred,Recoverable,Entre 80 e 130 USD,0
Central African Republic,Inferred,Recoverable,Entre 130 e 260 USD,29200
Chad,Inferred,Recoverable,<USD 40/kgU,0
Chad,Inferred,Recoverable,Entre 40 e 80 USD,0
Chad,Inferred,Recoverable,Entre 80 e 130 USD,0
Chad,Inferred,Recoverable,Entre 130 e 260 USD,2400
Chile,Inferred,Recoverable,<USD 40/kgU,0
Chile,Inferred,Recoverable,Entre 40 e 80 USD,0
Chile,Inferred,Recoverable,Entre 80 e 130 USD,0
Chile,Inferred,Recoverable,Entre 130 e 260 USD,900
China,Inferred,Recoverable,<USD 40/kgU,41400
China,Inferred,Recoverable,Entre 40 e 80 USD,35500
China,Inferred,Recoverable,Entre 80 e 130 USD,39500
China,Inferred,Recoverable,Entre 130 e 260 USD,17200
Congo Dem Rep of,Inferred,Recoverable,<USD 40/kgU,0
Congo Dem Rep of,Inferred,Recoverable,Entre 40 e 80 USD,0
Congo Dem Rep of,Inferred,Recoverable,Entre 80 e 130 USD,0
Congo Dem Rep of,Inferred,Recoverable,Entre 130 e 260 USD,1300
Czech Republic,Inferred,Recoverable,<USD 40/kgU,0
Czech Republic,Inferred,Recoverable,Entre 40 e 80 USD,0
Czech Republic,Inferred,Recoverable,Entre 80 e 130 USD,0
Czech Republic,Inferred,Recoverable,Entre 130 e 260 USD,68300
Denmark/Greenland,Inferred,Recoverable,<USD 40/kgU,0
Denmark/Greenland,Inferred,Recoverable,Entre 40 e 80 USD,0
Denmark/Greenland,Inferred,Recoverable,Entre 80 e 130 USD,0
Denmark/Greenland,Inferred,Recoverable,Entre 130 e 260 USD,62600
Egypt,Inferred,Recoverable,<USD 40/kgU,0
Egypt,Inferred,Recoverable,Entre 40 e 80 USD,0
Egypt,Inferred,Recoverable,Entre 80 e 130 USD,400
Egypt,Inferred,Recoverable,Entre 130 e 260 USD,1500
Gabon,Inferred,Recoverable,<USD 40/kgU,0
Gabon,Inferred,Recoverable,Entre 40 e 80 USD,0
Gabon,Inferred,Recoverable,Entre 80 e 130 USD,0
Gabon,Inferred,Recoverable,Entre 130 e 260 USD,1000
Germany,Inferred,Recoverable,<USD 40/kgU,0
Germany,Inferred,Recoverable,Entre 40 e 80 USD,0
Germany,Inferred,Recoverable,Entre 80 e 130 USD,0
Germany,Inferred,Recoverable,Entre 130 e 260 USD,4000
Greece,Inferred,Recoverable,<USD 40/kgU,0
Greece,Inferred,Recoverable,Entre 40 e 80 USD,0
Greece,Inferred,Recoverable,Entre 80 e 130 USD,0
Greece,Inferred,Recoverable,Entre 130 e 260 USD,6000
Guyana,Inferred,Recoverable,<USD 40/kgU,0
Guyana,Inferred,Recoverable,Entre 40 e 80 USD,0
Guyana,Inferred,Recoverable,Entre 80 e 130 USD,0
Guyana,Inferred,Recoverable,Entre 130 e 260 USD,2200
Hungary,Inferred,Recoverable,<USD 40/kgU,0
Hungary,Inferred,Recoverable,Entre 40 e 80 USD,0
Hungary,Inferred,Recoverable,Entre 80 e 130 USD,0
Hungary,Inferred,Recoverable,Entre 130 e 260 USD,8000
India,Inferred,Recoverable,<USD 40/kgU,0
India,Inferred,Recoverable,Entre 40 e 80 USD,0
India,Inferred,Recoverable,Entre 80 e 130 USD,0
India,Inferred,Recoverable,Entre 130 e 260 USD,8000
Indonesia,Inferred,Recoverable,<USD 40/kgU,0
Indonesia,Inferred,Recoverable,Entre 40 e 80 USD,0
Indonesia,Inferred,Recoverable,Entre 80 e 130 USD,3000
Indonesia,Inferred,Recoverable,Entre 130 e 260 USD,0
Iran Islamic Rep of,Inferred,Recoverable,<USD 40/kgU,0
Iran Islamic Rep of,Inferred,Recoverable,Entre 40 e 80 USD,0
Iran Islamic Rep of,Inferred,Recoverable,Entre 80 e 130 USD,4200
Iran Islamic Rep of,Inferred,Recoverable,Entre 130 e 260 USD,0
Italy,Inferred,Recoverable,<USD 40/kgU,0
Italy,Inferred,Recoverable,Entre 40 e 80 USD,1300
Italy,Inferred,Recoverable,Entre 80 e 130 USD,0
Italy,Inferred,Recoverable,Entre 130 e 260 USD,0
Jordan,Inferred,Recoverable,<USD 40/kgU,0
Jordan,Inferred,Recoverable,Entre 40 e 80 USD,0
Jordan,Inferred,Recoverable,Entre 80 e 130 USD,46500
Jordan,Inferred,Recoverable,Entre 130 e 260 USD,0
Kazakhstan,Inferred,Recoverable,<USD 40/kgU,250000
Kazakhstan,Inferred,Recoverable,Entre 40 e 80 USD,165700
Kazakhstan,Inferred,Recoverable,Entre 80 e 130 USD,31800
Kazakhstan,Inferred,Recoverable,Entre 130 e 260 USD,39800
Malawi,Inferred,Recoverable,<USD 40/kgU,0
Malawi,Inferred,Recoverable,Entre 40 e 80 USD,0
Malawi,Inferred,Recoverable,Entre 80 e 130 USD,1800
Malawi,Inferred,Recoverable,Entre 130 e 260 USD,2500
Mali,Inferred,Recoverable,<USD 40/kgU,0
Mali,Inferred,Recoverable,Entre 40 e 80 USD,0
Mali,Inferred,Recoverable,Entre 80 e 130 USD,3900
Mali,Inferred,Recoverable,Entre 130 e 260 USD,0
Mauritania,Inferred,Recoverable,<USD 40/kgU,0
Mauritania,Inferred,Recoverable,Entre 40 e 80 USD,0
Mauritania,Inferred,Recoverable,Entre 80 e 130 USD,12300
Mauritania,Inferred,Recoverable,Entre 130 e 260 USD,7000
Mexico,Inferred,Recoverable,<USD 40/kgU,0
Mexico,Inferred,Recoverable,Entre 40 e 80 USD,0
Mexico,Inferred,Recoverable,Entre 80 e 130 USD,1800
Mexico,Inferred,Recoverable,Entre 130 e 260 USD,1400
Mongolia,Inferred,Recoverable,<USD 40/kgU,0
Mongolia,Inferred,Recoverable,Entre 40 e 80 USD,9300
Mongolia,Inferred,Recoverable,Entre 80 e 130 USD,69100
Mongolia,Inferred,Recoverable,Entre 130 e 260 USD,0
Namibia,Inferred,Recoverable,<USD 40/kgU,0
Namibia,Inferred,Recoverable,Entre 40 e 80 USD,7900
Namibia,Inferred,Recoverable,Entre 80 e 130 USD,155000
Namibia,Inferred,Recoverable,Entre 130 e 260 USD,23800
Niger,Inferred,Recoverable,<USD 40/kgU,0
Niger,Inferred,Recoverable,Entre 40 e 80 USD,53600
Niger,Inferred,Recoverable,Entre 80 e 130 USD,79600
Niger,Inferred,Recoverable,Entre 130 e 260 USD,-133200
Paraguay,Inferred,Recoverable,<USD 40/kgU,0
Paraguay,Inferred,Recoverable,Entre 40 e 80 USD,0
Paraguay,Inferred,Recoverable,Entre 80 e 130 USD,1400
Paraguay,Inferred,Recoverable,Entre 130 e 260 USD,0
Peru,Inferred,Recoverable,<USD 40/kgU,0
Peru,Inferred,Recoverable,Entre 40 e 80 USD,19400
Peru,Inferred,Recoverable,Entre 80 e 130 USD,0
Peru,Inferred,Recoverable,Entre 130 e 260 USD,0
Portugal,Inferred,Recoverable,<USD 40/kgU,0
Portugal,Inferred,Recoverable,Entre 40 e 80 USD,0
Portugal,Inferred,Recoverable,Entre 80 e 130 USD,800
Portugal,Inferred,Recoverable,Entre 130 e 260 USD,0
Romania,Inferred,Recoverable,<USD 40/kgU,0
Romania,Inferred,Recoverable,Entre 40 e 80 USD,3600
Romania,Inferred,Recoverable,Entre 80 e 130 USD,0
Romania,Inferred,Recoverable,Entre 130 e 260 USD,0
Russia,Inferred,Recoverable,<USD 40/kgU,0
Russia,Inferred,Recoverable,Entre 40 e 80 USD,14400
Russia,Inferred,Recoverable,Entre 80 e 130 USD,260100
Russia,Inferred,Recoverable,Entre 130 e 260 USD,130500
Senegal,Inferred,Recoverable,<USD 40/kgU,0
Senegal,Inferred,Recoverable,Entre 40 e 80 USD,0
Senegal,Inferred,Recoverable,Entre 80 e 130 USD,1100
Senegal,Inferred,Recoverable,Entre 130 e 260 USD,0
Slovak Republic,Inferred,Recoverable,<USD 40/kgU,0
Slovak Republic,Inferred,Recoverable,Entre 40 e 80 USD,3900
Slovak Republic,Inferred,Recoverable,Entre 80 e 130 USD,2800
Slovak Republic,Inferred,Recoverable,Entre 130 e 260 USD,0
Slovenia,Inferred,Recoverable,<USD 40/kgU,0
Slovenia,Inferred,Recoverable,Entre 40 e 80 USD,3800
Slovenia,Inferred,Recoverable,Entre 80 e 130 USD,3700
Slovenia,Inferred,Recoverable,Entre 130 e 260 USD,0
Somalia,Inferred,Recoverable,<USD 40/kgU,0
Somalia,Inferred,Recoverable,Entre 40 e 80 USD,0
Somalia,Inferred,Recoverable,Entre 80 e 130 USD,2600
Somalia,Inferred,Recoverable,Entre 130 e 260 USD,0
South Africa,Inferred,Recoverable,<USD 40/kgU,0
South Africa,Inferred,Recoverable,Entre 40 e 80 USD,61700
South Africa,Inferred,Recoverable,Entre 80 e 130 USD,23100
South Africa,Inferred,Recoverable,Entre 130 e 260 USD,104200
Spain,Inferred,Recoverable,<USD 40/kgU,0
Spain,Inferred,Recoverable,Entre 40 e 80 USD,9400
Spain,Inferred,Recoverable,Entre 80 e 130 USD,0
Spain,Inferred,Recoverable,Entre 130 e 260 USD,0
Sweden,Inferred,Recoverable,<USD 40/kgU,0
Sweden,Inferred,Recoverable,Entre 40 e 80 USD,0
Sweden,Inferred,Recoverable,Entre 80 e 130 USD,4700
Sweden,Inferred,Recoverable,Entre 130 e 260 USD,0
Tanzania,Inferred,Recoverable,<USD 40/kgU,0
Tanzania,Inferred,Recoverable,Entre 40 e 80 USD,8500
Tanzania,Inferred,Recoverable,Entre 80 e 130 USD,10000
Tanzania,Inferred,Recoverable,Entre 130 e 260 USD,0
Turkey,Inferred,Recoverable,<USD 40/kgU,0
Turkey,Inferred,Recoverable,Entre 40 e 80 USD,8700
Turkey,Inferred,Recoverable,Entre 80 e 130 USD,1000
Turkey,Inferred,Recoverable,Entre 130 e 260 USD,0
Ukraine,Inferred,Recoverable,<USD 40/kgU,0
Ukraine,Inferred,Recoverable,Entre 40 e 80 USD,26700
Ukraine,Inferred,Recoverable,Entre 80 e 130 USD,6600
Ukraine,Inferred,Recoverable,Entre 130 e 260 USD,31500
Uzbekistan,Inferred,Recoverable,<USD 40/kgU,24900
Uzbekistan,Inferred,Recoverable,Entre 40 e 80 USD,0
Uzbekistan,Inferred,Recoverable,Entre 80 e 130 USD,57200
Uzbekistan,Inferred,Recoverable,Entre 130 e 260 USD,0
Viet Nam,Inferred,Recoverable,<USD 40/kgU,0
Viet Nam,Inferred,Recoverable,Entre 40 e 80 USD,0
Viet Nam,Inferred,Recoverable,Entre 80 e 130 USD,0
Viet Nam,Inferred,Recoverable,Entre 130 e 260 USD,900
Zambia,Inferred,Recoverable,<USD 40/kgU,0
Zambia,Inferred,Recoverable,Entre 40 e 80 USD,0
Zambia,Inferred,Recoverable,Entre 80 e 130 USD,12800
Zambia,Inferred,Recoverable,Entre 130 e 260 USD,0
Zimbabwe,Inferred,Recoverable,<USD 40/kgU,0
Zimbabwe,Inferred,Recoverable,Entre 40 e 80 USD,0
Zimbabwe,Inferred,Recoverable,Entre 80 e 130 USD,0
Zimbabwe,Inferred,Recoverable,Entre 130 e 260 USD,0
