Country,Probabilidade,Disponibilidade,Atributo,Urânio (Ton.)
Mongolia,RAR,in Situ,Entre 40 e 80 USD,10100
Mongolia,RAR,in Situ,Entre 80 e 130 USD,77900
Mongolia,RAR,in Situ,Entre 130 e 260 USD,200
Namibia,RAR,in Situ,<USD 40/kgU,0
Namibia,RAR,in Situ,Entre 40 e 80 USD,14700
Namibia,RAR,in Situ,Entre 80 e 130 USD,369300
Namibia,RAR,in Situ,Entre 130 e 260 USD,19500
Niger,RAR,in Situ,<USD 40/kgU,0
Niger,RAR,in Situ,Entre 40 e 80 USD,18000
Niger,RAR,in Situ,Entre 80 e 130 USD,299900
Niger,RAR,in Situ,Entre 130 e 260 USD,95500
Paraguay,RAR,in Situ,<USD 40/kgU,0
Paraguay,RAR,in Situ,Entre 40 e 80 USD,0
Paraguay,RAR,in Situ,Entre 80 e 130 USD,3400
Paraguay,RAR,in Situ,Entre 130 e 260 USD,0
Peru,RAR,in Situ,<USD 40/kgU,0
Peru,RAR,in Situ,Entre 40 e 80 USD,20000
Peru,RAR,in Situ,Entre 80 e 130 USD,0
Peru,RAR,in Situ,Entre 130 e 260 USD,0
Portugal,RAR,in Situ,<USD 40/kgU,0
Portugal,RAR,in Situ,Entre 40 e 80 USD,4500
Portugal,RAR,in Situ,Entre 80 e 130 USD,1500
Portugal,RAR,in Situ,Entre 130 e 260 USD,0
Romania,RAR,in Situ,<USD 40/kgU,0
Romania,RAR,in Situ,Entre 40 e 80 USD,4000
Romania,RAR,in Situ,Entre 80 e 130 USD,800
Romania,RAR,in Situ,Entre 130 e 260 USD,0
Russia,RAR,in Situ,<USD 40/kgU,0
Russia,RAR,in Situ,Entre 40 e 80 USD,27500
Russia,RAR,in Situ,Entre 80 e 130 USD,229700
Russia,RAR,in Situ,Entre 130 e 260 USD,69900
Slovak Republic,RAR,in Situ,<USD 40/kgU,0
Slovak Republic,RAR,in Situ,Entre 40 e 80 USD,10900
Slovak Republic,RAR,in Situ,Entre 80 e 130 USD,0
Slovak Republic,RAR,in Situ,Entre 130 e 260 USD,0
Slovenia,RAR,in Situ,<USD 40/kgU,0
Slovenia,RAR,in Situ,Entre 40 e 80 USD,2200
Slovenia,RAR,in Situ,Entre 80 e 130 USD,0
Slovenia,RAR,in Situ,Entre 130 e 260 USD,0
Somalia,RAR,in Situ,<USD 40/kgU,0
Somalia,RAR,in Situ,Entre 40 e 80 USD,0
Somalia,RAR,in Situ,Entre 80 e 130 USD,0
Somalia,RAR,in Situ,Entre 130 e 260 USD,3500
South Africa,RAR,in Situ,<USD 40/kgU,0
South Africa,RAR,in Situ,Entre 40 e 80 USD,229400
South Africa,RAR,in Situ,Entre 80 e 130 USD,95200
