Reactor Type,Energy_Uranium_Ratio
BWR,41.816119376315086
FBR,36.93268604502951
GCR,31.727681006810364
HTGR,38.01705497853287
LWGR,36.9870743817723
PHWR,41.38798920137238
PWR,39.73945803616228
