Reactor_Type,Period,GWh_per_tU
BWR,pre,34.625577106975236
FBR,pre,34.625577106975236
GCR,pre,34.625577106975236
HTGR,pre,29.608992578737666
HWGCR,pre,26.522039211586847
HWLWR,pre,34.01044289193009
LWGR,pre,34.625577106975236
PHWR,pre,34.625577106975236
PWR,pre,34.625577106975236
SGHWR,pre,30.351789287526035
BWR,pos,41.816119376315086
FBR,pos,36.93268604502951
GCR,pos,31.727681006810364
HTGR,pos,38.01705497853287
LWGR,pos,36.9870743817723
PHWR,pos,41.38798920137238
PWR,pos,39.73945803616228
