Ano,ARGENTINA,ARMENIA,BELARUS,BELGIUM,BRAZIL,BULGARIA,CANADA,CHINA,CZECH REPUBLIC,FINLAND,FRANCE,GERMANY,HUNGARY,INDIA,"IRAN, ISLAMIC REPUBLIC OF",ITALY,JAPAN,KAZAKHSTAN,"KOREA, REPUBLIC OF",LITHUANIA,MEXICO,"NETHERLANDS, KINGDOM OF THE",PAKISTAN,ROMANIA,RUSSIA,SLOVAKIA,SLOVENIA,SOUTH AFRICA,SPAIN,SWEDEN,SWITZERLAND,"TAIWAN, CHINA",UKRAINE,UNITED ARAB EMIRATES,UNITED KINGDOM,UNITED STATES OF AMERICA
2004,289,199,,-66,-1746,-467,14338,8937,454,-15,7012,2063,576,-1318,,,52928,,1192,-332,-1273,-183,123,600,-5361,-818,248,1615,1695,9620,-510,567,3509,,-7060,24644
2005,-944,307,,329,-1612,1762,1486,1941,-1562,542,3138,-3777,1811,686,,,6689,,14596,-4373,1570,167,475,-29,4165,711,401,-2046,-5924,-5601,-3405,465,3095,,709,-5680
2006,782,-82,,-1021,3786,776,5605,1477,1243,-357,-1359,4097,-512,-140,,,11039,,3589,-1599,81,-499,139,65,7006,263,-324,-2163,2445,-4522,4264,-87,1505,,-5955,4961
2007,-430,-73,,1538,-1333,-4459,-4243,7489,136,506,-9690,-25500,1354,164,,,-24204,,-4579,1130,-452,721,-239,1900,3344,-2440,138,2526,-4716,-720,116,644,2316,,-11858,18242
2008,127,-81,,-2494,1558,1046,106,6025,383,-455,-329,7676,3,-2581,,,-26082,,7655,65,-588,-60,-567,3255,4067,1294,543,146,3735,-2997,-214,335,-2750,,-9318,128
2009,739,24,,1600,-984,-522,-3169,388,646,551,-28047,-13167,431,1568,,,21799,,-3131,885,749,84,895,486,719,-2377,-512,-1173,-5864,-11296,-7,590,-6523,,14653,-9788
2010,-898,-3,,768,1550,17,371,5248,776,-711,18333,5293,359,5737,,,17196,,766,,-4515,-262,-76,-115,6633,460,-79,1326,8670,5691,-923,0,5995,,-6006,10183
2011,-797,70,,213,1020,1027,2816,11606,254,376,13423,-30700,49,8464,,,-124067,,5873,,3720,162,1283,106,2606,806,521,38,-4134,2367,350,485,948,,5805,-16639
2012,9,-233,,-7477,375,-403,742,10083,1907,-202,-16071,-8212,56,717,1230,,-138952,,-4213,,-901,-210,1427,-247,4275,68,-658,-541,3579,3375,-1248,-1638,-8,,1305,-19720
2013,-167,44,,2167,-1390,-1544,5230,12185,402,610,-1539,-1956,-225,343,2565,,-3283,,-11084,,2965,-969,-900,132,-4575,212,-207,1243,-4387,2249,546,1087,-6719,,168,19467
2014,-477,98,,-8538,683,1697,4297,18969,-368,-27,12102,-357,240,3223,-170,,-13947,,16733,,-2065,1136,206,57,7346,-203,1024,1122,547,-1453,1476,980,4956,,-6214,8429
2015,1260,305,,-7268,-571,-313,-2951,37394,-3299,-319,1033,-4973,182,1412,-525,,4346,,7999,,1873,-11,-244,-44,13742,-336,-689,-3797,-101,-7814,-4312,-5658,-717,,5976,-603
2016,1158,-376,,16605,1078,382,13,36626,-2607,-45,-32582,-6740,223,362,2725,,13190,,-5743,,-912,-111,1106,-321,1246,-350,59,4244,1343,6192,-1852,-4681,-6327,,1254,7947
2017,-1961,216,,-1243,-116,-211,-518,34967,4054,-706,-4606,-7906,35,-158,442,,11747,,-22582,,299,-486,2670,191,6061,282,536,-122,-474,2415,-712,-8900,4328,,-1262,-312
2018,736,-513,,-12935,-67,572,-681,44259,1471,306,14062,-296,-361,540,-66,,20045,,-7822,,2628,77,1180,-120,1224,-226,-477,-4500,-2263,2805,4905,5095,-873,,-4774,2381
2019,1473,130,,14170,437,424,404,53066,325,1034,-13505,-874,557,5351,-434,,16351,,6819,,-2319,360,-223,-91,4195,493,43,3015,2492,-1439,873,4491,-1387,,-8080,1330
2020,2085,522,,-8628,-1979,68,-2687,14625,-209,-560,-43666,-10074,-236,-366,-73,,-22583,,16167,,-16,184,573,206,6286,74,507,-1986,-59,-17067,-2320,-805,-6594,,-5364,-19439
2021,157,-701,5083,15169,614,-138,-5386,38457,671,291,24658,4526,-57,-616,-2556,,18205,,-2982,,741,-271,6193,-173,6621,288,-622,583,-1578,4064,-4455,-3523,9575,8564,-3879,-18281
2022,-2700,780,-1010,-6218,-113,-14,-5062,12148,266,1596,-81300,-33552,-166,2215,2772,,-9396,,14129,,-1066,316,6386,-179,1073,184,-107,-2075,1932,-1408,4586,-3901,,9174,1742,582
2023,1493,-118,6585,-10455,-49,-296,1747,11129,-582,8517,41680,-25169,137,2672,63,,25631,,7300,,1504,-159,163,90,-5559,2174,21,-1969,-1779,-3370,224,-5763,,11905,-6253,6965
