Country,Deposit ID,Deposit Name,Deposit Type,Deposit Subtype,Resource Range,Grade Range (Teor)
China,5436,Xiaofuzhu,Granite-related,Endogranitic,≥25 - <300,≥0.10 - <0.20
China,5930,Xiaohuacha,Intrusive,Anatectic pegmatite-alaskite,≥2500 - <5000,≥0.10 - <0.20
China,5345,Xiazhuang (336),Granite-related,Endogranitic,≥1000 - <2500,≥0.10 - <0.20
China,7797,Xinmu-Yangsi,Surficial,Lateritic,≥25 - <300,>0 - <0.01
China,5931,Xinshuijing,Metasomatite,Na-metasomatite,≥1000 - <2500,≥0.05 - <0.10
China,5310,Xiwang (330),Granite-related,Endogranitic,≥2500 - <5000,≥0.10 - <0.20
China,5266,Yanzitou (50),Sandstone,Basal Channel,≥300 - <1000,≥0.01 - <0.05
China,5437,Yuantou,Volcanic-related,Structurally-controlled,≥25 - <300,≥0.10 - <0.20
China,7798,Yunfeng,Surficial,Lateritic,≥300 - <1000,>0 - <0.01
China,5357,Yunji,Volcanic-related,Structurally-controlled,≥300 - <1000,≥0.10 - <0.20
China,5438,Zhaixia (335),Granite-related,Endogranitic,≥300 - <1000,≥0.10 - <0.20
China,1871,Zhajistan (511),Sandstone,Rollfront,≥1000 - <2500,≥0.05 - <0.10
China,5439,Zhangmajing,Volcanic-related,Structurally-controlled,≥300 - <1000,≥0.10 - <0.20
China,6730,Zhangwan,Granite-related,Endogranitic,≥25 - <300,≥0.05 - <0.10
China,1121,Zhaohuohao (396),Sandstone,Rollfront,≥5000 - <10000,≥0.01 - <0.05
China,5932,Zhifanggou,Intrusive,Anatectic pegmatite-alaskite,≥1000 - <2500,≥0.10 - <0.20
China,5361,Zhongchun (238),Granite-related,Endogranitic,≥1000 - <2500,≥0.10 - <0.20
China,5346,Zhushanxia (333),Granite-related,Endogranitic,≥1000 - <2500,≥0.10 - <0.20
China,5358,Zhutongjian,Granite-related,Endogranitic,≥300 - <1000,≥0.10 - <0.20
China,5347,Zoujiashan,Volcanic-related,Structurally-controlled,≥10000 - <25000,≥0.20 - <0.50
Colombia,1377,Berlin,Sandstone,Tabular,≥5000 - <10000,≥0.05 - <0.10
Colombia,5440,Boyaca,Phosphate,Minerochemical phosphorite,≥50000 - <100000,≥0.01 - <0.05
Colombia,5441,Huila,Phosphate,Minerochemical phosphorite,≥10000 - <25000,≥0.01 - <0.05
Colombia,5442,La Bara - Vetas,Metamorphite,Structurally-controlled,≥25 - <300,≥0.05 - <0.10
Colombia,5443,Norte de Santander,Phosphate,Minerochemical phosphorite,≥5000 - <10000,≥0.01 - <0.05
Colombia,5444,Santander,Phosphate,Minerochemical phosphorite,≥2500 - <5000,≥0.01 - <0.05
Czech Republic,7154,Barbora,Granite-related,Perigranitic,≥300 - <1000,≥0.10 - <0.20
Czech Republic,4472,Bernardov,Granite-related,Perigranitic,≥25 - <300,≥0.10 - <0.20
Czech Republic,4474,Bestvina,Metamorphite,Structurally-controlled,≥25 - <300,≥0.10 - <0.20
Czech Republic,4476,Bezdekov,Granite-related,Perigranitic,≥25 - <300,≥0.10 - <0.20
Czech Republic,4478,Bila Voda,Metamorphite,Structurally-controlled,≥25 - <300,≥0.10 - <0.20
Czech Republic,4484,Bohdasin,Lignite-coal,Stratiform,>0 - <25,≥0.01 - <0.05
Czech Republic,4485,Bohutin,Granite-related,Perigranitic,>0 - <25,≥0.10 - <0.20
Czech Republic,4492,Bor,Lignite-coal,Stratiform,≥25 - <300,≥0.05 - <0.10
Czech Republic,4493,Bor,Granite-related,Endogranitic,>0 - <25,≥0.10 - <0.20
Czech Republic,4494,Borek,Granite-related,Endogranitic,≥25 - <300,≥0.10 - <0.20
Czech Republic,7155,Bosirani,Granite-related,Perigranitic,≥25 - <300,≥0.10 - <0.20
Czech Republic,4498,Bouci-Olovi,Metamorphite,Structurally-controlled,>0 - <25,≥0.10 - <0.20
Czech Republic,4499,Bozi Dar,Metamorphite,Structurally-controlled,>0 - <25,≥0.10 - <0.20
Czech Republic,181,Brevniste,Sandstone,Tabular,≥10000 - <25000,≥0.05 - <0.10
Czech Republic,4503,Brezi,Granite-related,Endogranitic,≥25 - <300,≥0.10 - <0.20
Czech Republic,4504,Brezincka,Metamorphite,Structurally-controlled,≥25 - <300,≥0.20 - <0.50
Czech Republic,4505,Brezove Hory,Granite-related,Perigranitic,>0 - <25,≥0.10 - <0.20
Czech Republic,4346,Brod,Granite-related,Perigranitic,≥2500 - <5000,≥0.10 - <0.20
Czech Republic,1378,Brzkov,Metamorphite,Structurally-controlled,≥2500 - <5000,≥0.10 - <0.20
Czech Republic,4508,Budov,Metamorphite,Structurally-controlled,≥25 - <300,≥0.10 - <0.20
Czech Republic,4277,"Bytiz 4, 22-40",Granite-related,Perigranitic,≥25000 - <50000,≥0.10 - <0.20
Czech Republic,4529,Cech sv Vita,Granite-related,Endogranitic,≥25 - <300,≥0.10 - <0.20
Czech Republic,4531,Cernic,Granite-related,Perigranitic,≥25 - <300,≥0.10 - <0.20
Czech Republic,4532,Cerny Dul,Granite-related,Perigranitic,>0 - <25,≥0.10 - <0.20
Czech Republic,4537,Chanovice,Granite-related,Perigranitic,≥25 - <300,≥0.10 - <0.20
Czech Republic,4545,Chodovsky Ujezd,Granite-related,Perigranitic,≥25 - <300,≥0.10 - <0.20
Czech Republic,4546,Chotebor,Metamorphite,Structurally-controlled,≥25 - <300,≥0.10 - <0.20
Czech Republic,4550,Chvalec,Lignite-coal,Stratiform,>0 - <25,≥0.01 - <0.05
Czech Republic,7157,Cista,Granite-related,Perigranitic,>0 - <25,≥0.10 - <0.20
Czech Republic,4576,Dametice,Granite-related,Perigranitic,≥25 - <300,≥0.10 - <0.20
Czech Republic,4577,Dancovice,Metamorphite,Structurally-controlled,≥25 - <300,≥0.10 - <0.20
Czech Republic,4592,Dlazov,Granite-related,Perigranitic,>0 - <25,≥0.10 - <0.20
Czech Republic,4595,Dolni Rotava,Granite-related,Perigranitic,>0 - <25,≥0.10 - <0.20
Czech Republic,4596,Dolni Zandov,Granite-related,Perigranitic,≥25 - <300,≥0.10 - <0.20
Czech Republic,183,Dylen,Granite-related,Perigranitic,≥1000 - <2500,≥0.10 - <0.20
Czech Republic,4682,Haje,Granite-related,Perigranitic,≥300 - <1000,≥0.10 - <0.20
Czech Republic,1158,Hajek North,Lignite-coal,Stratiform,≥1000 - <2500,≥0.05 - <0.10
Czech Republic,4683,Hajek South,Lignite-coal,Stratiform,≥25 - <300,≥0.05 - <0.10
Czech Republic,184,Hamr North (Hamr I) -Krizany,Sandstone,Tabular,≥10000 - <25000,≥0.10 - <0.20
Czech Republic,4283,Hamr South (Hamr II),Sandstone,Tabular,≥10000 - <25000,≥0.10 - <0.20
Czech Republic,4686,Harrachov,Granite-related,Perigranitic,>0 - <25,≥0.10 - <0.20
Czech Republic,4689,Hermanicky,Granite-related,Perigranitic,≥25 - <300,≥0.10 - <0.20
Czech Republic,4314,Holicky,Sandstone,Tabular,≥5000 - <10000,≥0.10 - <0.20
Czech Republic,4697,Horni Blatna,Metamorphite,Structurally-controlled,>0 - <25,≥0.10 - <0.20
Czech Republic,4698,Horni Rozmysl,Granite-related,Endogranitic,>0 - <25,≥0.10 - <0.20
Czech Republic,4699,Horni Ves,Granite-related,Perigranitic,≥25 - <300,≥0.10 - <0.20
Czech Republic,4702,Hronov,Lignite-coal,Stratiform,>0 - <25,≥0.05 - <0.10
Czech Republic,4703,Hroznetin I,Lignite-coal,Stratiform,≥25 - <300,≥0.05 - <0.10
Czech Republic,4704,Hroznetin II,Lignite-coal,Stratiform,≥25 - <300,≥0.05 - <0.10
Czech Republic,4705,Hroznetin III,Lignite-coal,Stratiform,≥25 - <300,≥0.05 - <0.10
Czech Republic,186,Hvezdov,Sandstone,Tabular,≥5000 - <10000,≥0.10 - <0.20
Czech Republic,187,Jachymov District (12 mines),Granite-related,Perigranitic,≥5000 - <10000,≥0.50 - <1.00
Czech Republic,188,Jasenice-Pukov,Metamorphite,Structurally-controlled,≥300 - <1000,≥0.10 - <0.20
Czech Republic,4719,Jedomelice,Lignite-coal,Stratiform,≥25 - <300,≥0.05 - <0.10
Czech Republic,4720,Jeleni vrh,Metamorphite,Structurally-controlled,≥25 - <300,≥0.10 - <0.20
Czech Republic,4327,Jeruzalem,Granite-related,Perigranitic,≥5000 - <10000,≥0.10 - <0.20
Czech Republic,4723,Jilove,Granite-related,Perigranitic,>0 - <25,≥0.10 - <0.20
Czech Republic,4724,Jimramovske Pavlovice,Metamorphite,Structurally-controlled,≥25 - <300,≥0.10 - <0.20
Czech Republic,4725,Jiry II,Lignite-coal,Stratiform,≥25 - <300,≥0.05 - <0.10
Czech Republic,4726,Jivka,Lignite-coal,Stratiform,>0 - <25,≥0.01 - <0.05
Czech Republic,4735,Kamenec,Metamorphite,Structurally-controlled,≥25 - <300,≥0.10 - <0.20
Czech Republic,4736,Kamenna,Granite-related,Perigranitic,≥300 - <1000,≥0.10 - <0.20
Czech Republic,4745,Kasejovice,Granite-related,Perigranitic,≥25 - <300,≥0.10 - <0.20
Czech Republic,4762,Kladska,Granite-related,Perigranitic,≥25 - <300,≥0.10 - <0.20
Czech Republic,4763,Klasterek,Metamorphite,Structurally-controlled,≥25 - <300,≥0.10 - <0.20
Czech Republic,4764,Klatovy,Granite-related,Perigranitic,≥25 - <300,≥0.10 - <0.20
Czech Republic,4766,Klement,Metamorphite,Structurally-controlled,>0 - <25,≥0.10 - <0.20
Czech Republic,4770,Klococov,Metamorphite,Structurally-controlled,≥25 - <300,≥0.10 - <0.20
Czech Republic,4771,Klodsko,Metamorphite,Structurally-controlled,>0 - <25,≥0.10 - <0.20
Czech Republic,4774,Kocourek,Lignite-coal,Stratiform,≥25 - <300,≥0.05 - <0.10
Czech Republic,4776,Kojetin ,Granite-related,Perigranitic,≥25 - <300,≥0.10 - <0.20
Czech Republic,4778,Kolektiv Field,Lignite-coal,Stratiform,≥300 - <1000,≥0.01 - <0.05
Czech Republic,4788,Kovarov,Granite-related,Perigranitic,≥25 - <300,≥0.10 - <0.20
Czech Republic,4789,Kozi Hrbety,Granite-related,Perigranitic,>0 - <25,≥0.10 - <0.20
Czech Republic,4792,Kraborovice,Metamorphite,Structurally-controlled,≥25 - <300,≥0.10 - <0.20
Czech Republic,7158,Krasna,Granite-related,Perigranitic,>0 - <25,≥0.10 - <0.20
Czech Republic,7159,Krasno,Granite-related,Perigranitic,>0 - <25,≥0.10 - <0.20
Czech Republic,4794,Krasny les,Metamorphite,Structurally-controlled,>0 - <25,≥0.10 - <0.20
Czech Republic,4797,Krisovatka,Lignite-coal,Stratiform,>0 - <25,≥0.05 - <0.10
Czech Republic,4333,Krizani,Sandstone,Tabular,≥5000 - <10000,≥0.05 - <0.10
Czech Republic,4802,Kuklik,Metamorphite,Structurally-controlled,≥25 - <300,≥0.10 - <0.20
Czech Republic,4807,Kynzvart,Granite-related,Endogranitic,≥25 - <300,≥0.10 - <0.20
Czech Republic,4817,Labska-Prehrada,Granite-related,Perigranitic,>0 - <25,≥0.10 - <0.20
Czech Republic,4821,Lambertice,Lignite-coal,Stratiform,>0 - <25,≥0.05 - <0.10
Czech Republic,4303,Lesetice,Granite-related,Perigranitic,≥5000 - <10000,≥0.10 - <0.20
Czech Republic,7160,Leznice,Granite-related,Perigranitic,≥300 - <1000,≥0.10 - <0.20
Czech Republic,190,Licomerice,Metamorphite,Structurally-controlled,≥25 - <300,≥0.20 - <0.50
Czech Republic,4833,Lipova-Lhota,Granite-related,Endogranitic,≥25 - <300,≥0.10 - <0.20
Czech Republic,4835,Listany,Granite-related,Perigranitic,>0 - <25,≥0.10 - <0.20
Czech Republic,4836,Litosice,Metamorphite,Structurally-controlled,≥25 - <300,≥0.10 - <0.20
Czech Republic,4888,Mecichov,Granite-related,Perigranitic,≥300 - <1000,≥0.10 - <0.20
Czech Republic,4889,Medenec,Metamorphite,Structurally-controlled,>0 - <25,≥0.10 - <0.20
Czech Republic,4890,Medvedin,Granite-related,Perigranitic,>0 - <25,≥0.20 - <0.50
Czech Republic,4895,Meziroli,Lignite-coal,Stratiform,≥25 - <300,≥0.05 - <0.10
Czech Republic,191,Mimon,Sandstone,Tabular,≥10000 - <25000,≥0.05 - <0.10
Czech Republic,4900,Misecky,Granite-related,Perigranitic,>0 - <25,≥0.10 - <0.20
Czech Republic,4901,Mladkov,Metamorphite,Structurally-controlled,≥25 - <300,≥0.10 - <0.20
Czech Republic,4902,Mnisek,Granite-related,Perigranitic,>0 - <25,≥0.10 - <0.20
Czech Republic,7161,Nadlesi,Granite-related,Perigranitic,>0 - <25,≥0.10 - <0.20
Czech Republic,4921,Nahosin,Granite-related,Endogranitic,≥300 - <1000,≥0.10 - <0.20
Czech Republic,4928,Nebeska Rybna,Metamorphite,Structurally-controlled,≥25 - <300,≥0.10 - <0.20
Czech Republic,4929,Nectiny,Lignite-coal,Stratiform,>0 - <25,≥0.05 - <0.10
Czech Republic,4938,Nivy,Lignite-coal,Stratiform,≥25 - <300,≥0.05 - <0.10
Czech Republic,4944,Nova Ves ,Metamorphite,Structurally-controlled,≥25 - <300,≥0.10 - <0.20
Czech Republic,4945,Nova ves Pod Plesi,Granite-related,Perigranitic,>0 - <25,≥0.10 - <0.20
Czech Republic,4948,Novotniky,Granite-related,Perigranitic,>0 - <25,≥0.10 - <0.20
Czech Republic,4950,Novy Fojtov,Surficial,Pedogenic and fracture fill,≥25 - <300,≥0.10 - <0.20
Czech Republic,4953,Oboriste,Granite-related,Perigranitic,≥25 - <300,≥0.10 - <0.20
Czech Republic,4954,Oder,Lignite-coal,Stratiform,≥25 - <300,≥0.05 - <0.10
Czech Republic,192,Okrouhlá Radouň,Metamorphite,Structurally-controlled,≥1000 - <2500,≥0.10 - <0.20
Czech Republic,4957,Oldrichov,Granite-related,Perigranitic,≥25 - <300,≥0.10 - <0.20
Czech Republic,193,Olsi-Dranonin,Metamorphite,Structurally-controlled,≥2500 - <5000,≥0.10 - <0.20
Czech Republic,194,Osecna-Kotel,Sandstone,Tabular,≥10000 - <25000,≥0.05 - <0.10
Czech Republic,4966,Ostrov,Granite-related,Endogranitic,≥25 - <300,≥0.10 - <0.20
Czech Republic,4973,Pandsky Vrch,Granite-related,Perigranitic,≥25 - <300,≥0.10 - <0.20
Czech Republic,4375,Pavlin,Sandstone,Tabular,≥2500 - <5000,≥0.05 - <0.10
Czech Republic,4977,Pechova-Lhota,Granite-related,Perigranitic,≥25 - <300,≥0.10 - <0.20
Czech Republic,4982,Pernolec,Granite-related,Perigranitic,≥25 - <300,≥0.10 - <0.20
Czech Republic,4983,Petiletka,Lignite-coal,Stratiform,>0 - <25,≥0.01 - <0.05
Czech Republic,4985,Petrovice,Metamorphite,Structurally-controlled,≥25 - <300,≥0.10 - <0.20
Czech Republic,4986,Petrovice Velka,Granite-related,Perigranitic,≥25 - <300,≥0.10 - <0.20
Czech Republic,7162,Pichtova Hora,Granite-related,Perigranitic,≥25 - <300,≥0.10 - <0.20
Czech Republic,1872,Plouznice,Sandstone,Tabular,≥5000 - <10000,≥0.05 - <0.10
Czech Republic,182,Polna,Metamorphite,Structurally-controlled,≥1000 - <2500,≥0.10 - <0.20
Czech Republic,5008,Potucky,Granite-related,Perigranitic,≥25 - <300,≥0.10 - <0.20
Czech Republic,5011,Pradlo,Granite-related,Perigranitic,>0 - <25,≥0.10 - <0.20
Czech Republic,5014,Prebuz,Granite-related,Endogranitic,>0 - <25,≥0.10 - <0.20
Czech Republic,5015,Predborice,Granite-related,Perigranitic,≥25 - <300,≥0.10 - <0.20
Czech Republic,5017,Prichovice,Granite-related,Perigranitic,>0 - <25,≥0.10 - <0.20
Czech Republic,5018,Prinz Evzen,Granite-related,Perigranitic,>0 - <25,≥0.10 - <0.20
Czech Republic,5019,Prisecnice,Metamorphite,Structurally-controlled,>0 - <25,≥0.10 - <0.20
Czech Republic,5031,Puksice-Prisecno,Metamorphite,Structurally-controlled,≥25 - <300,≥0.10 - <0.20
Czech Republic,5040,Radetice,Granite-related,Perigranitic,>0 - <25,≥0.10 - <0.20
Czech Republic,5041,Radlo,Granite-related,Perigranitic,>0 - <25,≥0.10 - <0.20
Czech Republic,5042,Radnice,Lignite-coal,Stratiform,>0 - <25,≥0.01 - <0.05
Czech Republic,5043,Radvanice,Lignite-coal,Stratiform,>0 - <25,≥0.01 - <0.05
Czech Republic,5058,Ricky,Metamorphite,Structurally-controlled,≥25 - <300,≥0.10 - <0.20
Czech Republic,196,Rožná,Metamorphite,Structurally-controlled,≥10000 - <25000,≥0.10 - <0.20
Czech Republic,5075,Ruprechtov I,Lignite-coal,Stratiform,≥25 - <300,≥0.05 - <0.10
Czech Republic,5076,Ruprechtov II,Lignite-coal,Stratiform,≥25 - <300,≥0.05 - <0.10
Czech Republic,5077,Ruprechtov III,Lignite-coal,Stratiform,≥25 - <300,≥0.05 - <0.10
Czech Republic,5081,Rybnicek,Lignite-coal,Stratiform,≥300 - <1000,≥0.05 - <0.10
Czech Republic,5082,Rynholec,Lignite-coal,Stratiform,≥25 - <300,≥0.05 - <0.10
Czech Republic,5106,Sedlek,Lignite-coal,Stratiform,≥25 - <300,≥0.05 - <0.10
Czech Republic,5108,Seify-Ryzovna,Granite-related,Perigranitic,>0 - <25,≥0.10 - <0.20
Czech Republic,5131,Skalka,Granite-related,Perigranitic,≥25 - <300,≥0.10 - <0.20
Czech Republic,5133,Skrdlovice,Metamorphite,Structurally-controlled,≥25 - <300,≥0.10 - <0.20
Czech Republic,5135,Slavkovice,Metamorphite,Structurally-controlled,≥25 - <300,≥0.10 - <0.20
Czech Republic,5139,Smrkovec,Granite-related,Perigranitic,≥25 - <300,≥0.10 - <0.20
Czech Republic,5140,Sobedraz,Granite-related,Perigranitic,≥25 - <300,≥0.10 - <0.20
Czech Republic,5141,Sosen,Lignite-coal,Stratiform,>0 - <25,≥0.05 - <0.10
Czech Republic,4374,Srni Potok,Sandstone,Tabular,≥2500 - <5000,≥0.05 - <0.10
Czech Republic,5147,Stachanov Field,Lignite-coal,Stratiform,≥300 - <1000,≥0.05 - <0.10
Czech Republic,5152,Stepanice,Lignite-coal,Stratiform,>0 - <25,≥0.05 - <0.10
Czech Republic,5154,Stokov,Granite-related,Perigranitic,≥25 - <300,≥0.10 - <0.20
Czech Republic,197,Straz,Sandstone,Tabular,≥10000 - <25000,≥0.10 - <0.20
Czech Republic,5156,Strhare,Metamorphite,Structurally-controlled,>0 - <25,≥0.10 - <0.20
Czech Republic,5167,Svata Anna,Granite-related,Perigranitic,≥300 - <1000,≥0.20 - <0.50
Czech Republic,7163,Svatopluk,Granite-related,Perigranitic,≥25 - <300,≥0.10 - <0.20
Czech Republic,5168,Svaty Petr,Granite-related,Perigranitic,>0 - <25,≥0.10 - <0.20
Czech Republic,5170,Svratka,Metamorphite,Structurally-controlled,≥25 - <300,≥0.10 - <0.20
Czech Republic,7164,Tachova,Granite-related,Perigranitic,≥25 - <300,≥0.10 - <0.20
Czech Republic,7165,Teplicka-Hlinki,Granite-related,Perigranitic,>0 - <25,≥0.10 - <0.20
Czech Republic,5190,Trebsko,Granite-related,Perigranitic,>0 - <25,≥0.10 - <0.20
Czech Republic,5206,Ujezd u Kosejovic,Granite-related,Perigranitic,≥25 - <300,≥0.10 - <0.20
Czech Republic,5215,Ustalec,Granite-related,Perigranitic,≥25 - <300,≥0.10 - <0.20
Czech Republic,5225,Valterice,Lignite-coal,Stratiform,>0 - <25,≥0.05 - <0.10
Czech Republic,5228,Velka Morava,Metamorphite,Structurally-controlled,≥25 - <300,≥0.10 - <0.20
Czech Republic,5229,Velky Luh,Lignite-coal,Stratiform,>0 - <25,≥0.05 - <0.10
Czech Republic,5230,Vernerovice,Lignite-coal,Stratiform,>0 - <25,≥0.05 - <0.10
Czech Republic,5231,Veselicko,Metamorphite,Structurally-controlled,≥25 - <300,≥0.10 - <0.20
Czech Republic,5232,Vestec,Metamorphite,Structurally-controlled,≥25 - <300,≥0.10 - <0.20
Czech Republic,1162,Veznice,Metamorphite,Structurally-controlled,≥2500 - <5000,≥0.10 - <0.20
Czech Republic,5237,Vir,Metamorphite,Structurally-controlled,≥25 - <300,≥0.10 - <0.20
Czech Republic,5239,Vitkov I,Granite-related,Perigranitic,≥25 - <300,≥0.10 - <0.20
Czech Republic,198,Vitkov II,Granite-related,Perigranitic,≥2500 - <5000,≥0.20 - <0.50
Czech Republic,7166,Vlci,Granite-related,Perigranitic,>0 - <25,≥0.10 - <0.20
Czech Republic,199,Vnitrosudetska Panev,Sandstone,Tabular,≥2500 - <5000,≥0.05 - <0.10
Czech Republic,5241,Vojna,Granite-related,Perigranitic,>0 - <25,≥0.10 - <0.20
Czech Republic,5247,Vrancice,Granite-related,Endogranitic,≥300 - <1000,≥0.10 - <0.20
Czech Republic,4373,Vranov,Sandstone,Tabular,≥2500 - <5000,≥0.05 - <0.10
Czech Republic,200,Zadní Chodov,Metamorphite,Structurally-controlled,≥5000 - <10000,≥0.10 - <0.20
Czech Republic,189,Zalesi-Javornik,Metamorphite,Structurally-controlled,≥300 - <1000,≥0.10 - <0.20
Czech Republic,5271,Zandov,Granite-related,Endogranitic,>0 - <25,≥0.10 - <0.20
Czech Republic,5272,Zbislav,Granite-related,Perigranitic,≥25 - <300,≥0.10 - <0.20
Czech Republic,7167,Zdar Buh,Granite-related,Perigranitic,≥300 - <1000,≥0.10 - <0.20
Czech Republic,5273,Zdechovice,Metamorphite,Structurally-controlled,≥25 - <300,≥0.10 - <0.20
Czech Republic,5274,Zdenek,Lignite-coal,Stratiform,≥300 - <1000,≥0.05 - <0.10
Czech Republic,5275,Zelenov,Granite-related,Perigranitic,≥25 - <300,≥0.10 - <0.20
Czech Republic,5277,Zlatkov,Metamorphite,Structurally-controlled,>0 - <25,≥0.10 - <0.20
Czech Republic,5278,Zlaty Kopec,Granite-related,Perigranitic,>0 - <25,≥0.10 - <0.20
Czech Republic,5280,Ztraceny Rybnik,Lignite-coal,Stratiform,≥25 - <300,≥0.05 - <0.10
Dem. P.R. of Korea,7124,Pyongsan,Carbonate,Structurally-controlled,,≥0.01 - <0.05
Dem. P.R. of Korea,7125,Sunchon,Black shale,,,≥0.01 - <0.05
Dem. P.R. of Korea,7168,Tkhongchong Basin,Lignite-coal,Stratiform,≥300 - <1000,≥0.05 - <0.10
Democratic Republic of the Congo,5451,"Ant, Virgule-FSSR (KOV)",Metamorphite,Structurally-controlled,≥300 - <1000,≥0.10 - <0.20
Democratic Republic of the Congo,5452,Fundu-Nzobe,Phosphate,Minerochemical phosphorite,≥5000 - <10000,>0 - <0.01
Democratic Republic of the Congo,7169,Fungurume,Metamorphite,Structurally-controlled,≥25 - <300,≥0.10 - <0.20
Democratic Republic of the Congo,1802,Kalongwe,Metamorphite,Structurally-controlled,≥300 - <1000,≥0.10 - <0.20
Democratic Republic of the Congo,1164,Kambove West,Metamorphite,Structurally-controlled,≥1000 - <2500,≥0.10 - <0.20
Democratic Republic of the Congo,7170,Kamoto East,Metamorphite,Structurally-controlled,≥25 - <300,≥0.10 - <0.20
Democratic Republic of the Congo,5453,Kamoto North,Metamorphite,Structurally-controlled,≥300 - <1000,≥0.10 - <0.20
Democratic Republic of the Congo,433,Kamoto Principal,Metamorphite,Structurally-controlled,≥1000 - <2500,≥0.20 - <0.50
Democratic Republic of the Congo,5454,Kanzi,Phosphate,Minerochemical phosphorite,≥10000 - <25000,>0 - <0.01
Democratic Republic of the Congo,434,Kasompi East,Metamorphite,Structurally-controlled,≥300 - <1000,≥0.05 - <0.10
Democratic Republic of the Congo,5455,Kiswishi,Metamorphite,Structurally-controlled,≥25 - <300,≥0.10 - <0.20
Democratic Republic of the Congo,1165,Luena Basin,Lignite-coal,Stratiform,≥5000 - <10000,≥0.01 - <0.05
Democratic Republic of the Congo,5456,Luishia Principal,Metamorphite,Structurally-controlled,≥300 - <1000,≥0.10 - <0.20
Democratic Republic of the Congo,5457,Luiswishi,Metamorphite,Structurally-controlled,≥25 - <300,≥0.10 - <0.20
Democratic Republic of the Congo,1166,Musonoi Extension,Metamorphite,Structurally-controlled,≥2500 - <5000,≥0.20 - <0.50
Democratic Republic of the Congo,5458,Musoshi,Metamorphite,Structurally-controlled,≥25 - <300,≥0.10 - <0.20
Democratic Republic of the Congo,5459,Mutoshi,Metamorphite,Structurally-controlled,≥25 - <300,≥0.10 - <0.20
Democratic Republic of the Congo,7171,Ngundji,Phosphate,Minerochemical phosphorite,≥5000 - <10000,>0 - <0.01
Democratic Republic of the Congo,435,Shinkolobwe-Kasolo,Metamorphite,Structurally-controlled,≥25000 - <50000,≥0.50 - <1.00
Democratic Republic of the Congo,1167,Swambo,Metamorphite,Structurally-controlled,≥300 - <1000,≥0.20 - <0.50
Democratic Republic of the Congo,5460,Virgule,Metamorphite,Structurally-controlled,≥25 - <300,≥0.10 - <0.20
Denmark,1830,Illimaussaq Zone 3,Intrusive,Plutonic,≥10000 - <25000,≥0.01 - <0.05
Denmark,4711,Illorsuit,Metamorphite,Stratabound,≥25 - <300,≥0.20 - <0.50
Denmark,201,Kvanefjeld,Intrusive,Plutonic,≥100000 - <1000000,≥0.01 - <0.05
Denmark,2041,Motzfeldt,Intrusive,Plutonic,≥10000 - <25000,>0 - <0.01
Denmark,4300,Puissagtaq,Granite-related,Endogranitic,≥10000 - <25000,≥0.20 - <0.50
Denmark,1874,Sorensen,Intrusive,Plutonic,≥50000 - <100000,≥0.01 - <0.05
Egypt,7172,Abu Rushid,Metamorphite,Structurally-controlled,≥1000 - <2500,≥0.05 - <0.10
Egypt,1413,Abu Tartur,Phosphate,Minerochemical phosphorite,≥25000 - <50000,>0 - <0.01
Egypt,2042,Abu Zenima,Surficial,Lacustrine-playa,≥300 - <1000,≥0.05 - <0.10
Egypt,1992,El Sebaeya East,Phosphate,Minerochemical phosphorite,≥100000 - <1000000,>0 - <0.01
Egypt,4270,El Sebaeya West,Phosphate,Minerochemical phosphorite,≥50000 - <100000,>0 - <0.01
Egypt,7173,El Sella,Granite-related,Endogranitic,≥25 - <300,≥0.01 - <0.05
Egypt,1831,Gabbal Gattar,Granite-related,Endogranitic,≥1000 - <2500,≥0.10 - <0.20
Egypt,1993,Red Sea Coast District,Phosphate,Minerochemical phosphorite,≥10000 - <25000,>0 - <0.01
Estonia,7174,Aseri,Phosphate,Minerochemical phosphorite,≥5000 - <10000,>0 - <0.01
Estonia,4192,Baltoscandia District,Black shale,Stratiform,≥1000000,>0 - <0.01
Estonia,7175,Maardu Dump,Black shale,Stratiform,≥2500 - <5000,>0 - <0.01
Estonia,7176,Rakvere,Phosphate,Minerochemical phosphorite,≥100000 - <1000000,>0 - <0.01
Estonia,7177,Sillamae Repository,Black shale,Stratiform,≥1000 - <2500,>0 - <0.01
Estonia,7178,Southern Maardu,Phosphate,Minerochemical phosphorite,≥25000 - <50000,>0 - <0.01
Estonia,7179,Toolsi,Phosphate,Minerochemical phosphorite,≥10000 - <25000,>0 - <0.01
Finland,7180,Herajarvenkannas,Paleo-quartz-pebble conglomerate,U-dominant,>0 - <25,≥0.05 - <0.10
Finland,5933,Hermanni-2,Paleo-quartz-pebble conglomerate,U-dominant,>0 - <25,≥0.05 - <0.10
Finland,5934,Ipatti,Paleo-quartz-pebble conglomerate,U-dominant,≥25 - <300,≥0.05 - <0.10
Finland,4193,Juomasuo,Metasomatite,Na-metasomatite,≥300 - <1000,≥0.01 - <0.05
Finland,5935,Käldö,Granite-related,Endogranitic,≥25 - <300,≥0.20 - <0.50
Finland,202,Kesankitunturi,Sandstone,Tabular,≥300 - <1000,≥0.05 - <0.10
Finland,1703,Kolmisoppi,Black shale,Stratiform,≥10000 - <25000,>0 - <0.01
Finland,7181,Kolmosviuhka,Metamorphite,Structurally-controlled,>0 - <25,≥0.05 - <0.10
