Country,Uranium Required [T],Year
Czech Republic,694,March 2021
Egypt,0,March 2021
Finland,758,March 2021
France,8701,March 2021
Germany,587,March 2021
Hungary,360,March 2021
India,1080,March 2021
Iran,161,March 2021
Japan,2344,March 2021
Jordan,0,March 2021
Kazakhstan,0,March 2021
Korea RO (South),5121,March 2021
Lithuania,0,March 2021
Mexico,239,March 2021
Netherlands,74,March 2021
Pakistan,636,March 2021
Poland,0,March 2021
Romania,187,March 2021
Russia,6227,March 2021
Saudi Arabia,0,March 2021
Slovakia,428,March 2021
Slovenia,141,March 2021
South Africa,294,March 2021
Spain,1217,March 2021
Sweden,985,March 2021
Switzerland,446,March 2021
Thailand,0,March 2021
Turkey,0,March 2021
Ukraine,1879,March 2021
UAE,877,March 2021
United Kingdom,1820,March 2021
USA,18295,March 2021
Uzbekistan,0,March 2021
Argentina,206,August 2021
Armenia,77,August 2021
Bangladesh,0,August 2021
Belarus,146,August 2021
Belgium,898,August 2021
Brazil,358,August 2021
Bulgaria,334,August 2021
Canada,1409,August 2021
China,10814,August 2021
Czech Republic,694,August 2021
Egypt,0,August 2021
Finland,758,August 2021
France,8701,August 2021
Germany,587,August 2021
Hungary,360,August 2021
India,1080,August 2021
Iran,161,August 2021
Japan,2344,August 2021
Jordan,0,August 2021
Kazakhstan,0,August 2021
Korea RO (South),5121,August 2021
Lithuania,0,August 2021
Mexico,239,August 2021
Netherlands,74,August 2021
Pakistan,636,August 2021
Poland,0,August 2021
Romania,187,August 2021
Russia,6227,August 2021
Saudi Arabia,0,August 2021
Slovakia,428,August 2021
Slovenia,141,August 2021
South Africa,294,August 2021
Spain,1217,August 2021
Sweden,985,August 2021
Switzerland,446,August 2021
Thailand,0,August 2021
Turkey,0,August 2021
Ukraine,1879,August 2021
UAE,877,August 2021
United Kingdom,1820,August 2021
USA,18295,August 2021
Uzbekistan,0,August 2021
Argentina,167,December 2021
Armenia,50,December 2021
Bangladesh,0,December 2021
Belarus,179,December 2021
Belgium,790,December 2021
Brazil,340,December 2021
Bulgaria,322,December 2021
Canada,1492,December 2021
China,9563,December 2021
